UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
Q96P44	NA	SIMILARITY: Belongs to the fibril-associated collagens with interrupted helices (FACIT) family. {ECO:0000305}.	Fibril-associated collagens with interrupted helices (FACIT) family	NA	COMPBIAS 828..842;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 888..908;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 37..211;  /note=VWFA;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219; DOMAIN 230..412;  /note=Laminin G-like; DOMAIN 448..500;  /note=Collagen-like 1; DOMAIN 501..542;  /note=Collagen-like 2; DOMAIN 543..594;  /note=Collagen-like 3; DOMAIN 681..733;  /note=Collagen-like 4; DOMAIN 734..787;  /note=Collagen-like 5; DOMAIN 825..882;  /note=Collagen-like 6; DOMAIN 884..934;  /note=Collagen-like 7	NA	REGION 448..786;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 825..938;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P54107	NA	SIMILARITY: Belongs to the CRISP family. {ECO:0000305}.	CRISP family	NA	NA	DOMAIN 45..175;  /note=SCP; DOMAIN 211..244;  /note=ShKT;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01005	NA	NA	NA	NA
P80162	NA	SIMILARITY: Belongs to the intercrine alpha (chemokine CxC) family. {ECO:0000305}.	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA	NA	NA	NA
O14944	NA	NA	NA	NA	NA	DOMAIN 64..104;  /note=EGF-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	NA	NA	NA
O95969	NA	SIMILARITY: Belongs to the secretoglobin family. Lipophilin subfamily. {ECO:0000305}.	Secretoglobin family, Lipophilin subfamily	NA	NA	NA	NA	NA	NA	NA
O75556	NA	SIMILARITY: Belongs to the secretoglobin family. Lipophilin subfamily. {ECO:0000305}.	Secretoglobin family, Lipophilin subfamily	NA	NA	NA	NA	NA	NA	NA
P04628	NA	SIMILARITY: Belongs to the Wnt family. {ECO:0000305}.	Wnt family	NA	NA	NA	NA	NA	NA	NA
P13640	DOMAIN: Class I metallothioneins contain 2 metal-binding domains: four divalent ions are chelated within cluster A of the alpha domain and are coordinated via cysteinyl thiolate bridges to 11 cysteine ligands. Cluster B, the corresponding region within the beta domain, can ligate three divalent ions to 9 cysteines.	SIMILARITY: Belongs to the metallothionein superfamily. Type 1 family. {ECO:0000305}.	Metallothionein superfamily, Type 1 family	NA	NA	NA	NA	REGION 1..29;  /note=Beta; REGION 31..62;  /note=Alpha	NA	NA
P00505	NA	SIMILARITY: Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family. {ECO:0000305}.	Class-I pyridoxal-phosphate-dependent aminotransferase family	NA	NA	NA	NA	NA	NA	NA
Q99217	NA	SIMILARITY: Belongs to the amelogenin family. {ECO:0000305}.	Amelogenin family	NA	COMPBIAS 115..170;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 95..191;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P12644	NA	SIMILARITY: Belongs to the TGF-beta family. {ECO:0000305}.	TGF-beta family	NA	NA	NA	NA	REGION 283..307;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q02325	NA	NA	NA	NA	NA	DOMAIN 20..96;  /note=PAN;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315	NA	NA	NA	NA
Q9NZH6	NA	SIMILARITY: Belongs to the IL-1 family. {ECO:0000305}.	IL-1 family	NA	NA	NA	NA	REGION 1..40;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O60542	NA	SIMILARITY: Belongs to the TGF-beta family. GDNF subfamily. {ECO:0000305}.	TGF-beta family, GDNF subfamily	NA	NA	NA	NA	NA	NA	NA
P42263	DOMAIN: The M4 transmembrane segment mediates tetramerization and is required for cell surface expression. {ECO:0000250}.	SIMILARITY: Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIA3 subfamily. {ECO:0000305}.	Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA3 subfamily	NA	NA	NA	NA	REGION 508..510;  /note=Glutamate binding;  /evidence=ECO:0000250; REGION 686..687;  /note=Glutamate binding;  /evidence=ECO:0000250	NA	NA
O43557	NA	SIMILARITY: Belongs to the tumor necrosis factor family. {ECO:0000305}.	Tumor necrosis factor family	NA	NA	NA	NA	NA	NA	NA
O43555	NA	SIMILARITY: Belongs to the GnRH family. {ECO:0000305}.	GnRH family	NA	NA	NA	NA	REGION 23..81;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9BYW3	NA	SIMILARITY: Belongs to the beta-defensin family. {ECO:0000305}.	Beta-defensin family	NA	NA	NA	NA	REGION 21..63;  /note=In vitro binds to LPS, mediates antimicrobial activity and inhibits LPS-mediated inflammation;  /evidence=ECO:0000269|PubMed:23229569	NA	NA
O60676	NA	SIMILARITY: Belongs to the cystatin family. {ECO:0000305}.	Cystatin family	NA	NA	NA	MOTIF 77..81;  /note=Secondary area of contact;  /evidence=ECO:0000255	NA	NA	NA
Q9H114	NA	SIMILARITY: Belongs to the cystatin family. {ECO:0000305}.	Cystatin family	NA	NA	DOMAIN 37..115;  /note=Cystatin;  /evidence=ECO:0000255	NA	NA	NA	NA
Q9H112	NA	SIMILARITY: Belongs to the cystatin family. {ECO:0000305}.	Cystatin family	NA	NA	NA	NA	NA	NA	NA
P12643	NA	SIMILARITY: Belongs to the TGF-beta family. {ECO:0000305}.	TGF-beta family	NA	COMPBIAS 98..121;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 275..293;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 84..121;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 271..293;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NZU0	NA	NA	NA	NA	COMPBIAS 622..638;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 29..58;  /note=LRRNT;  /evidence=ECO:0000255; DOMAIN 305..357;  /note=LRRCT;  /evidence=ECO:0000255; DOMAIN 409..504;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 38..67;  /note=Interaction with ADGRL3;  /evidence=ECO:0000269|PubMed:26235030; REGION 387..407;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 622..649;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 59..80;  /note=LRR 1;  /evidence=ECO:0000255; REPEAT 84..104;  /note=LRR 2;  /evidence=ECO:0000255; REPEAT 105..126;  /note=LRR 3;  /evidence=ECO:0000255; REPEAT 129..150;  /note=LRR 4;  /evidence=ECO:0000255; REPEAT 155..175;  /note=LRR 5;  /evidence=ECO:0000255; REPEAT 176..197;  /note=LRR 6;  /evidence=ECO:0000255; REPEAT 200..220;  /note=LRR 7;  /evidence=ECO:0000255; REPEAT 226..247;  /note=LRR 8;  /evidence=ECO:0000255; REPEAT 248..269;  /note=LRR 9;  /evidence=ECO:0000255; REPEAT 272..293;  /note=LRR 10;  /evidence=ECO:0000255	NA
P16519	NA	SIMILARITY: Belongs to the peptidase S8 family. Furin subfamily. {ECO:0000305}.	Peptidase S8 family, Furin subfamily	NA	NA	DOMAIN 129..453;  /note=Peptidase S8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01240; DOMAIN 461..597;  /note=P/Homo B;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01173	NA	NA	NA	NA
Q9GZZ7	NA	SIMILARITY: Belongs to the GDNFR family. {ECO:0000305}.	GDNFR family	NA	NA	NA	NA	REGION 145..198;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NRC9	NA	SIMILARITY: Belongs to the MIA/OTOR family. {ECO:0000305}.	MIA/OTOR family	NA	NA	DOMAIN 39..110;  /note=SH3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00192	NA	NA	NA	NA
Q9H106	NA	NA	NA	NA	NA	DOMAIN 31..135;  /note=Ig-like V-type	NA	REGION 139..158;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9H1M3	NA	SIMILARITY: Belongs to the beta-defensin family. {ECO:0000305}.	Beta-defensin family	NA	COMPBIAS 141..156;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 158..172;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 141..183;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P43026	NA	SIMILARITY: Belongs to the TGF-beta family. {ECO:0000305}.	TGF-beta family	NA	NA	NA	NA	REGION 29..169;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 246..265;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96P71	NA	NA	NA	NA	COMPBIAS 14..31;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 199..220;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 36..71;  /note=EF-hand;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00448; DOMAIN 296..385;  /note=ABM	NA	REGION 14..36;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 181..190;  /note=Required for interaction with APBA3;  /evidence=ECO:0000269|PubMed:26948053; REGION 197..220;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P41134	NA	NA	NA	NA	NA	DOMAIN 53..105;  /note=bHLH;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00981	MOTIF 98..111;  /note=Nuclear export signal;  /evidence=ECO:0000250	NA	NA	NA
Q8TDL5	NA	SIMILARITY: Belongs to the BPI/LBP/Plunc superfamily. Plunc family. {ECO:0000305}.	BPI/LBP/Plunc superfamily, Plunc family	NA	NA	NA	NA	NA	NA	NA
Q11203	NA	SIMILARITY: Belongs to the glycosyltransferase 29 family. {ECO:0000305}.	Glycosyltransferase 29 family	NA	NA	NA	NA	NA	NA	NA
O15068	DOMAIN: The CRAL-TRIO domain mediates interaction with various inositol phospholipids, such as phosphatidylinositol 3-phosphate (PI3P), phosphatidylinositol 4-phosphate (PI4P) and phosphatidylinositol 5-phosphate (PI5P). {ECO:0000269|PubMed:15157669}.; DOMAIN: The DH domain is involved in interaction with CCPG1. {ECO:0000250|UniProtKB:Q64096}.	SIMILARITY: Belongs to the MCF2 family. {ECO:0000305}.	MCF2 family	COILED 503..529;  /evidence=ECO:0000255	COMPBIAS 601..625;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 955..981;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 52..224;  /note=CRAL-TRIO;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00056; DOMAIN 631..811;  /note=DH;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00062; DOMAIN 829..945;  /note=PH;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00145; DOMAIN 1055..1116;  /note=SH3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00192	NA	REGION 557..625;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 955..1058;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1116..1137;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 351..456;  /note=Spectrin	NA
P22891	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 41..86;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463; DOMAIN 87..123;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 125..166;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 175..400;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P55000	NA	NA	NA	NA	NA	DOMAIN 24..73;  /note=UPAR/Ly6	NA	NA	NA	NA
Q9H665	NA	NA	NA	NA	COMPBIAS 129..147;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 120..147;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6UWL6	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. {ECO:0000305}.	Immunoglobulin superfamily	NA	COMPBIAS 545..560;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 561..596;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 24..118;  /note=Ig-like C2-type 1; DOMAIN 123..222;  /note=Ig-like C2-type 2; DOMAIN 227..307;  /note=Ig-like C2-type 3; DOMAIN 312..394;  /note=Ig-like C2-type 4; DOMAIN 398..501;  /note=Ig-like C2-type 5	MOTIF 149..151;  /note=Cell attachment site;  /evidence=ECO:0000255	REGION 545..601;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NZU1	NA	NA	NA	NA	NA	DOMAIN 21..53;  /note=LRRNT; DOMAIN 300..352;  /note=LRRCT; DOMAIN 409..504;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	NA	REPEAT 54..75;  /note=LRR 1; REPEAT 79..99;  /note=LRR 2; REPEAT 100..121;  /note=LRR 3; REPEAT 124..145;  /note=LRR 4; REPEAT 150..171;  /note=LRR 5; REPEAT 172..192;  /note=LRR 6; REPEAT 195..218;  /note=LRR 7; REPEAT 221..241;  /note=LRR 8; REPEAT 243..264;  /note=LRR 9; REPEAT 267..288;  /note=LRR 10	NA
P47710	NA	SIMILARITY: Belongs to the alpha-casein family. {ECO:0000305}.	Alpha-casein family	NA	NA	NA	NA	NA	NA	NA
P02808	NA	SIMILARITY: Belongs to the histatin/statherin family. {ECO:0000305}.	Histatin/statherin family	NA	NA	NA	NA	REGION 20..25;  /note=Hydroxyapatite-binding; inhibits crystal growth; REGION 38..62;  /note=Hydrophobic; inhibits precipitation of calcium phosphate salts	NA	NA
P15515	NA	SIMILARITY: Belongs to the histatin/statherin family. {ECO:0000305}.	Histatin/statherin family	NA	NA	NA	NA	NA	NA	NA
P27918	DOMAIN: TSP type-1 domain 0 binds to TSP type-1 domain 4, and TSP type-1 domain 1 binds to TSP type-1 domain 6 (PubMed:15491616, PubMed:28264884, PubMed:31507604). These interactions mediate multimerization (PubMed:15491616, PubMed:28264884, PubMed:31507604). {ECO:0000269|PubMed:15491616, ECO:0000269|PubMed:28264884, ECO:0000269|PubMed:31507604}.	NA	NA	NA	NA	DOMAIN 28..76;  /note=TSP type-1 0;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 77..134;  /note=TSP type-1 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 136..191;  /note=TSP type-1 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 193..255;  /note=TSP type-1 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 257..313;  /note=TSP type-1 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 315..377;  /note=TSP type-1 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 379..462;  /note=TSP type-1 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210	NA	REGION 219..238;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 351..359;  /note=Interaction with Compliment C3 beta chain;  /evidence=ECO:0000269|PubMed:28264884, ECO:0000269|PubMed:31507604	NA	NA
P20742	NA	SIMILARITY: Belongs to the protease inhibitor I39 (alpha-2-macroglobulin) family. {ECO:0000305}.	Protease inhibitor I39 (alpha-2-macroglobulin) family	NA	NA	NA	NA	REGION 685..735;  /note=Bait region	NA	NA
P23515	NA	NA	NA	NA	NA	DOMAIN 25..55;  /note=LRRNT	NA	NA	REPEAT 56..77;  /note=LRR 1; REPEAT 79..100;  /note=LRR 2; REPEAT 101..121;  /note=LRR 3; REPEAT 124..145;  /note=LRR 4; REPEAT 147..168;  /note=LRR 5; REPEAT 169..189;  /note=LRR 6; REPEAT 192..213;  /note=LRR 7; REPEAT 216..239;  /note=LRR 8; REPEAT 229..270;  /note=Ser/Thr-rich; REPEAT 271..292;  /note=Ser/Thr-rich; REPEAT 293..335;  /note=Ser/Thr-rich; REPEAT 336..377;  /note=Ser/Thr-rich; REPEAT 378..416;  /note=Ser/Thr-rich	NA
Q5JUQ0	NA	SIMILARITY: Belongs to the FAM78 family. {ECO:0000305}.	FAM78 family	NA	NA	NA	NA	NA	NA	NA
Q99983	NA	SIMILARITY: Belongs to the small leucine-rich proteoglycan (SLRP) family. SLRP class II subfamily. {ECO:0000305}.	Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily	NA	COMPBIAS 396..421;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 53..91;  /note=LRRNT	NA	REGION 382..421;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 92..113;  /note=LRR 1; REPEAT 116..129;  /note=LRR 2; REPEAT 142..164;  /note=LRR 3; REPEAT 165..184;  /note=LRR 4; REPEAT 187..210;  /note=LRR 5; REPEAT 213..233;  /note=LRR 6; REPEAT 234..255;  /note=LRR 7; REPEAT 258..280;  /note=LRR 8; REPEAT 281..294;  /note=LRR 9; REPEAT 301..321;  /note=LRR 10; REPEAT 331..353;  /note=LRR 11	NA
P20800	NA	SIMILARITY: Belongs to the endothelin/sarafotoxin family. {ECO:0000305}.	Endothelin/sarafotoxin family	NA	NA	NA	NA	REGION 96..111;  /note=Endothelin-like; REGION 159..178;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P48740	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 20..138;  /note=CUB 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 139..182;  /note=EGF-like; calcium-binding; DOMAIN 185..297;  /note=CUB 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 299..364;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 365..434;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 449..696;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 20..278;  /note=Interaction with FCN2; REGION 20..184;  /note=Homodimerization;  /evidence=ECO:0000250; REGION 20..184;  /note=Interaction with MBL2	NA	NA
Q9GZX6	NA	SIMILARITY: Belongs to the IL-10 family. {ECO:0000305}.	IL-10 family	NA	NA	NA	NA	NA	NA	NA
P35475	NA	SIMILARITY: Belongs to the glycosyl hydrolase 39 family. {ECO:0000305}.	Glycosyl hydrolase 39 family	NA	NA	NA	NA	REGION 305..306;  /note=Substrate binding	NA	NA
P39877	NA	SIMILARITY: Belongs to the phospholipase A2 family. {ECO:0000305}.	Phospholipase A2 family	NA	NA	NA	NA	NA	NA	NA
P55789	NA	NA	NA	NA	NA	DOMAIN 95..195;  /note=ERV/ALR sulfhydryl oxidase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00654	NA	REGION 1..65;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96NZ8	DOMAIN: The second BPTI/Kunitz inhibitor domain is able to inhibit trypsin. It has however no activity toward chymotrypsin, elastase, plasmin, pancreatic kallikrein, lung tryptase, plasma kallikrein, thrombin, urokinase or tissue plasminogen activator. {ECO:0000269|PubMed:12709070}.	SIMILARITY: Belongs to the WFIKKN family. {ECO:0000305}.	WFIKKN family	NA	NA	DOMAIN 26..79;  /note=WAP;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722; DOMAIN 108..159;  /note=Kazal-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00798; DOMAIN 186..279;  /note=Ig-like C2-type; DOMAIN 299..351;  /note=BPTI/Kunitz inhibitor 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00031; DOMAIN 359..409;  /note=BPTI/Kunitz inhibitor 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00031; DOMAIN 409..540;  /note=NTR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00295	NA	REGION 164..184;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9UHF5	NA	SIMILARITY: Belongs to the IL-17 family. {ECO:0000305}.	IL-17 family	NA	NA	NA	NA	REGION 22..44;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q14314	NA	NA	NA	COILED 73..165;  /evidence=ECO:0000255	NA	DOMAIN 204..436;  /note=Fibrinogen C-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00739	NA	REGION 103..126;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P20155	NA	NA	NA	NA	NA	DOMAIN 30..84;  /note=Kazal-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00798	NA	NA	NA	NA
Q7Z4H4	NA	SIMILARITY: Belongs to the adrenomedullin family. {ECO:0000305}.	Adrenomedullin family	NA	NA	NA	NA	REGION 26..57;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 70..101;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9UKI3	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. {ECO:0000305}.	Immunoglobulin superfamily	NA	NA	DOMAIN 21..123;  /note=Ig-like	NA	NA	NA	NA
Q9HCN8	NA	NA	NA	NA	NA	DOMAIN 33..87;  /note=MIR 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00131; DOMAIN 95..150;  /note=MIR 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00131; DOMAIN 151..205;  /note=MIR 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00131	MOTIF 218..221;  /note=Prevents secretion from ER;  /evidence=ECO:0000255|PROSITE-ProRule:PRU10138	NA	NA	NA
Q99999	NA	SIMILARITY: Belongs to the galactose-3-O-sulfotransferase family. {ECO:0000305}.	Galactose-3-O-sulfotransferase family	NA	NA	NA	NA	NA	NA	NA
Q09327	NA	SIMILARITY: Belongs to the glycosyltransferase 17 family. {ECO:0000305}.	Glycosyltransferase 17 family	NA	COMPBIAS 518..533;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 119..158;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 507..533;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O95236	NA	SIMILARITY: Belongs to the apolipoprotein L family. {ECO:0000305}.	Apolipoprotein L family	NA	NA	NA	NA	NA	NA	NA
O60704	NA	SIMILARITY: Belongs to the protein sulfotransferase family. {ECO:0000305}.	Protein sulfotransferase family	NA	NA	NA	NA	REGION 78..82;  /note=PAPS binding;  /evidence=ECO:0007744|PDB:3AP1, ECO:0007744|PDB:3AP2, ECO:0007744|PDB:3AP3; REGION 101..105;  /note=Interaction with peptide substrate;  /evidence=ECO:0000269|PubMed:23481380; REGION 285..294;  /note=PAPS binding;  /evidence=ECO:0007744|PDB:3AP1, ECO:0007744|PDB:3AP2, ECO:0007744|PDB:3AP3	NA	NA
P15814	NA	NA	NA	NA	NA	DOMAIN 114..208;  /note=Ig-like C1-type	NA	REGION 97..108;  /note=J region (By similarity to lambda light-chain); REGION 109..213;  /note=C region (By similarity to lambda light-chain)	NA	NA
P15018	NA	SIMILARITY: Belongs to the LIF/OSM family. {ECO:0000305}.	LIF/OSM family	NA	NA	NA	NA	NA	NA	NA
Q9UI42	NA	SIMILARITY: Belongs to the peptidase M14 family. {ECO:0000305}.	Peptidase M14 family	NA	NA	NA	NA	REGION 181..184;  /note=Substrate binding; REGION 256..257;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P00730; REGION 275..276;  /note=Substrate binding; REGION 309..310;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P00730	NA	NA
O15240	NA	NA	NA	NA	COMPBIAS 130..145;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 166..196;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 351..379;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 392..435;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 436..451;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 468..488;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 489..517;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 524..539;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 558..572;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 578..600;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 22..201;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 218..257;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 342..600;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
