hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
UBXN8	UBX domain protein 8	No		11.003560	NA	Intracellular or membrane-bound	Endoplasmic reticulum membrane {ECO:0000269|PubMed:21949850}; Multi-pass membrane protein {ECO:0000269|PubMed:21949850}.	endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ubiquitin ligase complex [GO:0000151]	protein-macromolecule adaptor activity [GO:0030674]	single fertilization [GO:0007338]; ubiquitin-dependent ERAD pathway [GO:0030433]	ENSG00000104691	O00124	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBXN8&keywords=UBXN8		
UCMA	upper zone of growth plate and cartilage matrix associated	No		0.007159	UCMA family	Locally secreted to extracellular matrix	Secreted, extracellular space, extracellular matrix {ECO:0000250}.	cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]	BMP binding [GO:0036122]	embryonic skeletal system development [GO:0048706]; negative regulation of biomineralization [GO:0110150]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of SMAD protein signal transduction [GO:0060392]	ENSG00000165623	Q8WVF2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCMA&keywords=UCMA		
UCN	urocortin	Yes		0.164475	Sauvagine/corticotropin-releasing factor/urotensin I family	Secreted to blood	Secreted.	axon terminus [GO:0043679]; dendrite [GO:0030425]; extracellular region [GO:0005576]; perikaryon [GO:0043204]; varicosity [GO:0043196]	corticotropin-releasing hormone receptor 1 binding [GO:0051430]; corticotropin-releasing hormone receptor 2 binding [GO:0051431]; histone deacetylase inhibitor activity [GO:0046811]; neuropeptide hormone activity [GO:0005184]	activation of protein kinase A activity [GO:0034199]; aerobic respiration [GO:0009060]; associative learning [GO:0008306]; drinking behavior [GO:0042756]; female pregnancy [GO:0007565]; gastric emptying [GO:0035483]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; negative regulation of apoptotic process [GO:0043066]; negative regulation of appetite [GO:0032099]; negative regulation of blood pressure [GO:0045776]; negative regulation of cell size [GO:0045792]; negative regulation of feeding behavior [GO:2000252]; negative regulation of gastric acid secretion [GO:0060455]; negative regulation of gene expression [GO:0010629]; negative regulation of hormone secretion [GO:0046888]; negative regulation of necrotic cell death [GO:0060547]; negative regulation of neuron death [GO:1901215]; neuron projection development [GO:0031175]; neuropeptide signaling pathway [GO:0007218]; pancreatic juice secretion [GO:0030157]; positive regulation of behavioral fear response [GO:2000987]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cAMP-mediated signaling [GO:0043950]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of cell growth [GO:0030307]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of corticotropin secretion [GO:0051461]; positive regulation of DNA replication [GO:0045740]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of vascular permeability [GO:0043117]; regulation of synaptic transmission, glutamatergic [GO:0051966]; response to auditory stimulus [GO:0010996]; response to estradiol [GO:0032355]; response to glucocorticoid [GO:0051384]; response to oxidative stress [GO:0006979]; response to pain [GO:0048265]; sensory perception of sound [GO:0007605]; social behavior [GO:0035176]; startle response [GO:0001964]	ENSG00000163794	P55089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN&keywords=UCN		
UCN2	urocortin 2	Yes		0.487339	Sauvagine/corticotropin-releasing factor/urotensin I family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	corticotropin-releasing hormone receptor 2 binding [GO:0051431]; corticotropin-releasing hormone receptor binding [GO:0051429]; hormone activity [GO:0005179]; hormone binding [GO:0042562]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to nutrient levels [GO:0031669]; digestion [GO:0007586]; hormone-mediated signaling pathway [GO:0009755]	ENSG00000145040	Q96RP3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN2&keywords=UCN2		
UCN3	urocortin 3	Yes		36.575030	Sauvagine/corticotropin-releasing factor/urotensin I family	Secreted to blood	Secreted.	axon terminus [GO:0043679]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; varicosity [GO:0043196]	corticotropin-releasing hormone receptor 2 binding [GO:0051431]; corticotropin-releasing hormone receptor binding [GO:0051429]; hormone activity [GO:0005179]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to hypoxia [GO:0071456]; cellular response to nutrient levels [GO:0031669]; digestion [GO:0007586]; hormone-mediated signaling pathway [GO:0009755]; positive regulation of insulin secretion [GO:0032024]; positive regulation of membrane potential [GO:0045838]; response to corticosterone [GO:0051412]; response to glucose [GO:0009749]; response to immobilization stress [GO:0035902]; response to starvation [GO:0042594]	ENSG00000178473	Q969E3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN3&keywords=UCN3		
UGGT2	UDP-glucose glycoprotein glucosyltransferase 2	No		18.881373	Glycosyltransferase 8 family	Intracellular or membrane-bound	Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:12913004}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:12913004}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum quality control compartment [GO:0044322]; protein-containing complex [GO:0032991]	UDP-glucose:glycoprotein glucosyltransferase activity [GO:0003980]; unfolded protein binding [GO:0051082]	endoplasmic reticulum mannose trimming [GO:1904380]; ER-associated misfolded protein catabolic process [GO:0071712]; protein N-linked glycosylation via asparagine [GO:0018279]	ENSG00000102595	Q9NYU1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGGT2&keywords=UGGT2		
UGT1A10	UDP glucuronosyltransferase family 1 member A10	No		0.885746	UDP-glycosyltransferase family	Intracellular or membrane-bound	Endoplasmic reticulum membrane {ECO:0000305|PubMed:17179145}; Single-pass membrane protein {ECO:0000255}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]	cellular glucuronidation [GO:0052695]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; xenobiotic glucuronidation [GO:0052697]	ENSG00000242515	Q9HAW8	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A10&keywords=UGT1A10		
UGT2B28	UDP glucuronosyltransferase family 2 member B28	No		0.173407	UDP-glycosyltransferase family	Intracellular or membrane-bound	Endoplasmic reticulum membrane {ECO:0000269|PubMed:11300766}; Single-pass membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:11300766}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nuclear outer membrane [GO:0005640]; perinuclear region of cytoplasm [GO:0048471]	glucuronosyltransferase activity [GO:0015020]	steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]	ENSG00000135226	Q9BY64	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B28&keywords=UGT2B28		
UGT2B4	UDP glucuronosyltransferase family 2 member B4	No		0.992451	UDP-glycosyltransferase family	Intracellular or membrane-bound	Endoplasmic reticulum membrane {ECO:0000305|PubMed:8333863}; Single-pass membrane protein {ECO:0000255}.	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]	glucuronosyltransferase activity [GO:0015020]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]	ENSG00000156096	P06133	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B4&keywords=UGT2B4		
ULBP2	UL16 binding protein 2	No		1.898447	MHC class I family	Locally secreted	Cell membrane {ECO:0000269|PubMed:12782710}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12782710}. Endoplasmic reticulum {ECO:0000269|PubMed:12782710}. Secreted {ECO:0000269|PubMed:11444831}. Note=In CMV-infected fibroblasts, detected in the endoplasmic reticulum/cis-Golgi. {ECO:0000269|PubMed:12782710}.	anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]	natural killer cell lectin-like receptor binding [GO:0046703]	natural killer cell activation [GO:0030101]; natural killer cell mediated cytotoxicity [GO:0042267]; viral process [GO:0016032]	ENSG00000131015	Q9BZM5	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULBP2&keywords=ULBP2		
ULBP3	UL16 binding protein 3	No		2.005083	MHC class I family	Intracellular or membrane-bound	Cell membrane {ECO:0000250|UniProtKB:Q9BZM6}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9BZM6}.	anchored component of plasma membrane [GO:0046658]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]	natural killer cell lectin-like receptor binding [GO:0046703]	natural killer cell activation [GO:0030101]; natural killer cell mediated cytotoxicity [GO:0042267]; regulation of immune response [GO:0050776]; viral process [GO:0016032]	ENSG00000131019	Q9BZM4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULBP3&keywords=ULBP3		
UMOD	uromodulin	Yes		0.107174	NA	Locally secreted	Apical cell membrane {ECO:0000269|PubMed:22776760, ECO:0000269|PubMed:23988501, ECO:0000269|PubMed:26673890, ECO:0000269|PubMed:7028707}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2249987}. Basolateral cell membrane {ECO:0000269|PubMed:7028707}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2249987}. Cell projection, cilium membrane {ECO:0000269|PubMed:20172860}. Note=Only a small fraction sorts to the basolateral pole of tubular epithelial cells compared to apical localization (PubMed:22776760). Secreted into urine after cleavage (PubMed:18375198, PubMed:26811476). Colocalizes with NPHP1 and KIF3A (PubMed:20172860). {ECO:0000269|PubMed:18375198, ECO:0000269|PubMed:20172860, ECO:0000269|PubMed:26811476, ECO:0000269|PubMed:3453112, ECO:0000269|PubMed:7028707}.; SUBCELLULAR LOCATION: [Uromodulin, secreted form]: Secreted {ECO:0000269|PubMed:18375198, ECO:0000269|PubMed:19005207, ECO:0000269|PubMed:26673890, ECO:0000269|PubMed:26811476, ECO:0000269|PubMed:3453112, ECO:0000269|PubMed:7028707}. Note=Detected in urine. {ECO:0000269|PubMed:18375198, ECO:0000269|PubMed:26811476, ECO:0000269|PubMed:3453112, ECO:0000269|PubMed:7028707}.	anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extrinsic component of membrane [GO:0019898]; Golgi lumen [GO:0005796]; spindle pole [GO:0000922]	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; IgG binding [GO:0019864]	allantoin metabolic process [GO:0000255]; apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular calcium ion homeostasis [GO:0006874]; cellular chloride ion homeostasis [GO:0030644]; cellular defense response [GO:0006968]; cellular phosphate ion homeostasis [GO:0030643]; cellular response to unfolded protein [GO:0034620]; cellular sodium ion homeostasis [GO:0006883]; chaperone-mediated protein folding [GO:0061077]; citric acid secretion [GO:0046720]; collecting duct development [GO:0072044]; connective tissue replacement [GO:0097709]; creatinine homeostasis [GO:0097273]; defense response to Gram-negative bacterium [GO:0050829]; endoplasmic reticulum organization [GO:0007029]; glomerular filtration [GO:0003094]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; inflammatory response [GO:0006954]; juxtaglomerular apparatus development [GO:0072051]; leukocyte cell-cell adhesion [GO:0007159]; lipid metabolic process [GO:0006629]; metanephric ascending thin limb development [GO:0072218]; metanephric distal convoluted tubule development [GO:0072221]; metanephric thick ascending limb development [GO:0072233]; micturition [GO:0060073]; multicellular organismal response to stress [GO:0033555]; negative regulation of cell population proliferation [GO:0008285]; neutrophil migration [GO:1990266]; organ or tissue specific immune response [GO:0002251]; peptidyl-threonine phosphorylation [GO:0018107]; potassium ion homeostasis [GO:0055075]; protein localization to vacuole [GO:0072665]; protein transport into plasma membrane raft [GO:0044861]; regulation of protein transport [GO:0051223]; regulation of urine volume [GO:0035809]; renal sodium ion absorption [GO:0070294]; renal water homeostasis [GO:0003091]; response to drug [GO:0042493]; response to lipopolysaccharide [GO:0032496]; response to water deprivation [GO:0009414]; RNA splicing [GO:0008380]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent ERAD pathway [GO:0030433]; urate catabolic process [GO:0019628]; urate salt excretion [GO:0097744]	ENSG00000169344	P07911	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UMOD&keywords=UMOD		
USH2A	usherin	No		0.158016	NA	Intracellular or membrane-bound	Cell projection, stereocilium membrane {ECO:0000269|PubMed:14676276}; Single-pass type I membrane protein {ECO:0000269|PubMed:14676276}. Note=Component of the interstereocilia ankle links in the inner ear sensory cells. In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment that surrounds the connecting cilia called periciliary membrane complex. {ECO:0000250|UniProtKB:Q2QI47}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	apical plasma membrane [GO:0016324]; basement membrane [GO:0005604]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; periciliary membrane compartment [GO:1990075]; photoreceptor connecting cilium [GO:0032391]; photoreceptor inner segment [GO:0001917]; stereocilia ankle link [GO:0002141]; stereocilia ankle link complex [GO:0002142]; stereocilium bundle [GO:0032421]; stereocilium membrane [GO:0060171]; USH2 complex [GO:1990696]	collagen binding [GO:0005518]; identical protein binding [GO:0042802]; myosin binding [GO:0017022]	animal organ morphogenesis [GO:0009887]; cell migration [GO:0016477]; establishment of protein localization [GO:0045184]; hair cell differentiation [GO:0035315]; inner ear receptor cell differentiation [GO:0060113]; maintenance of animal organ identity [GO:0048496]; photoreceptor cell maintenance [GO:0045494]; response to stimulus [GO:0050896]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888]; visual perception [GO:0007601]	ENSG00000042781	O75445	https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A&keywords=USH2A		
