UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
Q8N3Z0	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9BXY4	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q2TJ95}.	NA	NA	NA
P01282	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q8N2E2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P17936	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20353938}.	NA	NA	NA
P08833	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q8WTU2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O15550	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	NA	NA	NA
Q9H7Y0	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9NS84	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.	NA	TOPO_DOM 1..13;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 35..486;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 14..34;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q0D2K3	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q2WG80}.	NA	NA	NA
Q8N6C5	SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.	NA	TOPO_DOM 29..518;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 540..559;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 581..1336;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 519..539;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 560..580;  /note=Helical;  /evidence=ECO:0000255
P51654	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14610063}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P13265}; Extracellular side {ECO:0000250|UniProtKB:P13265}.	NA	NA	NA
Q8TDX6	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000305|PubMed:11788602}; Single-pass type II membrane protein {ECO:0000305|PubMed:11788602}.	NA	TOPO_DOM 1..14;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 36..532;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 15..35;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P01148	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O94905	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16835267, ECO:0000269|PubMed:17502376, ECO:0000269|PubMed:19240031}; Single-pass type II membrane protein {ECO:0000269|PubMed:16835267, ECO:0000269|PubMed:17502376, ECO:0000269|PubMed:19240031}. Note=Associated with lipid raft-like domains of the endoplasmic reticulum membrane.	NA	TOPO_DOM 1..3;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 25..339;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 4..24;  /note=Helical;  /evidence=ECO:0000255
A1KZ92	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform PMR1]: Cytoplasm. Note=Associates with polysomes.	NA	NA	NA
P06850	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P06296}.	NA	NA	NA
O00559	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:12672804}; Single-pass type III membrane protein {ECO:0000269|PubMed:12672804}. Note=According to PubMed:10426319, it also exists as a soluble form which has the same biological activities. The existence of such soluble form is however uncertain.	NA	TOPO_DOM 1..6;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 28..213;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 7..27;  /note=Helical; Signal-anchor for type III membrane protein;  /evidence=ECO:0000255
Q6UXX9	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q8BFU0}.	NA	NA	NA
O95813	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P01569	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P05015	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q96LT7	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21944779, ECO:0000269|PubMed:27037575}. Cytoplasm {ECO:0000269|PubMed:21944778, ECO:0000269|PubMed:27037575, ECO:0000269|PubMed:27193190}. Cytoplasm, P-body {ECO:0000269|PubMed:27037575}. Cytoplasm, Stress granule {ECO:0000269|PubMed:27037575}. Endosome {ECO:0000269|PubMed:24549040}. Lysosome {ECO:0000269|PubMed:24549040, ECO:0000269|PubMed:27559131}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:24549040}. Secreted {ECO:0000269|PubMed:24549040}. Cell projection, axon {ECO:0000269|PubMed:27723745}. Cell projection, growth cone {ECO:0000269|PubMed:27723745}. Perikaryon {ECO:0000250|UniProtKB:Q6DFW0}. Note=Detected in the cytoplasm of neurons from brain tissue (PubMed:21944778). Detected in the nucleus in fibroblasts (PubMed:21944779). During corticogenesis, transitions from being predominantly cytoplasmic to a more even nucleocytoplasmic distribution (By similarity). {ECO:0000250|UniProtKB:Q6DFW0, ECO:0000269|PubMed:21944778, ECO:0000269|PubMed:21944779, ECO:0000269|PubMed:27037575}.; SUBCELLULAR LOCATION: [Isoform 1]: Perikaryon {ECO:0000269|PubMed:26174152}. Cell projection, dendrite {ECO:0000269|PubMed:26174152}. Note=Expressed diffusely throughout the cytoplasm and dendritic processes of cerebellar Purkinje cells. Also expressed diffusely throughout the cytoplasm of spinal motor neurons. {ECO:0000269|PubMed:26174152}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus membrane {ECO:0000269|PubMed:26174152}; Peripheral membrane protein {ECO:0000305}. Nucleus {ECO:0000269|PubMed:26174152}. Note=Detected at the nuclear membrane of cerebellar Purkinje cells and spinal motor neurons. Also shows diffuse nuclear expression in spinal motor neurons. {ECO:0000269|PubMed:26174152}.	NA	NA	NA
Q9P0W0	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q13825	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9JLZ3}.	NA	NA	NA
P06396	SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytoskeleton.; SUBCELLULAR LOCATION: [Isoform 1]: Secreted.	NA	NA	NA
Q5IJ48	SUBCELLULAR LOCATION: [Isoform 1]: Apical cell membrane {ECO:0000250|UniProtKB:Q80YA8}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q80YA8}. Cell junction {ECO:0000250|UniProtKB:Q80YA8}. Note=O-glucosylation is required for localization at the apical plasma membrane (By similarity). Distributed in a complex anisotropic pattern on apical cell edges: the level of CRB2 on a cell edge is inversely correlated with the level of MYH10/myosin-IIB (By similarity). {ECO:0000250|UniProtKB:Q80YA8}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000255}.	NA	NA	TRANSMEM 1225..1245;  /note=Helical;  /evidence=ECO:0000255
Q8N5D6	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..5;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 27..347;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 6..26;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q6KCM7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:15054102, ECO:0000269|PubMed:15123600}; Multi-pass membrane protein {ECO:0000269|PubMed:15054102, ECO:0000269|PubMed:15123600}.	NA	TOPO_DOM 1..189;  /note=Mitochondrial intermembrane;  /evidence=ECO:0000255; TOPO_DOM 208..244;  /note=Mitochondrial matrix;  /evidence=ECO:0000255; TOPO_DOM 265..287;  /note=Mitochondrial intermembrane;  /evidence=ECO:0000255; TOPO_DOM 302..337;  /note=Mitochondrial matrix;  /evidence=ECO:0000255; TOPO_DOM 358..380;  /note=Mitochondrial intermembrane;  /evidence=ECO:0000255; TOPO_DOM 399..437;  /note=Mitochondrial matrix;  /evidence=ECO:0000255; TOPO_DOM 458..469;  /note=Mitochondrial intermembrane;  /evidence=ECO:0000255	TRANSMEM 190..207;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 245..264;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 288..301;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 338..357;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 381..398;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 438..457;  /note=Helical; Name=6;  /evidence=ECO:0000255
P80188	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12453413, ECO:0000269|PubMed:27780864, ECO:0000269|PubMed:7683678}. Cytoplasmic granule lumen {ECO:0000269|PubMed:8298140}. Cytoplasmic vesicle lumen {ECO:0000269|PubMed:12453413}. Note=Upon binding to the SLC22A17 (24p3R) receptor, it is internalized (By similarity). Releases the bound iron in the acidic lumen of cytoplasmic vesicles (PubMed:12453413, PubMed:20581821). {ECO:0000250|UniProtKB:P11672, ECO:0000269|PubMed:12453413, ECO:0000269|PubMed:20581821}.	NA	NA	NA
Q8NDA2	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:A2AJ76}. Cleavage furrow {ECO:0000250|UniProtKB:A2AJ76}. Note=The antibody used to determine subcellular location does not distinguish between HMCN1 and HMCN2. {ECO:0000250|UniProtKB:A2AJ76}.	NA	NA	NA
Q8WX39	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9Y3D2	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18424444}.	NA	NA	NA
P61647	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..3;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 25..398;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 4..24;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q96JP9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Localized at the junction between the inner and outer segments of rod and cone photoreceptors cells. Confined to the base of the OS. Localized on the edges of nascent evaginating disks on the side of the OS opposite the connecting cilium. Expressed at postnatal day 2 at the apical tip of the rod photoreceptor cells, the site of the developing OS. Colocalized with rhodopsin between postnatal days 2 and 9 at the base of the growing OS region (By similarity). {ECO:0000250}.	NA	TOPO_DOM 20..700;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 722..859;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 701..721;  /note=Helical;  /evidence=ECO:0000255
P00367	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19448744}. Endoplasmic reticulum {ECO:0000269|PubMed:19448744}. Note=Mostly translocates into the mitochondria, only a small amount of the protein localizes to the endoplasmic reticulum. {ECO:0000269|PubMed:19448744}.	NA	NA	NA
Q14520	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:8827452}. Note=Secreted as an inactive single-chain precursor and is then activated to a heterodimeric form.	NA	NA	NA
O43184	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000305}.	NA	TOPO_DOM 208..708;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 730..909;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 709..729;  /note=Helical;  /evidence=ECO:0000255
P35318	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P35542	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0DJI8}.	NA	NA	NA
P11684	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q6UXH9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P05155	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q12913	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell projection, ruffle membrane {ECO:0000250}. Cell junction. Note=After T-cell stimulation, it is temporarily excluded from immunological synapses.	NA	TOPO_DOM 36..975;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 997..1337;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 976..996;  /note=Helical;  /evidence=ECO:0000255
O94919	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P50454	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.	NA	NA	NA
P13591	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Lipid-anchor, GPI-anchor.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000305}.	NA	TOPO_DOM 20..718;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 740..858;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 719..739;  /note=Helical;  /evidence=ECO:0000255
Q8IW92	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q7Z4N8	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000305}.	NA	NA	NA
Q9Y4L1	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.	NA	NA	NA
P60852	SUBCELLULAR LOCATION: [Processed zona pellucida sperm-binding protein 1]: Zona pellucida {ECO:0000269|PubMed:29895852}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P48829}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 26..601;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 623..638;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 602..622;  /note=Helical;  /evidence=ECO:0000255
Q86WS3	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O94766	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:21763480}; Single-pass type II membrane protein {ECO:0000269|PubMed:21763480}. Golgi apparatus, cis-Golgi network {ECO:0000269|PubMed:21763480, ECO:0000269|PubMed:25893793}.	NA	TOPO_DOM 1..7;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 29..335;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 8..28;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q8IZU9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19012874}; Single-pass type I membrane protein {ECO:0000269|PubMed:19012874}.; SUBCELLULAR LOCATION: [Processed kin of IRRE-like protein 3]: Secreted {ECO:0000250|UniProtKB:Q8BR86}.	NA	TOPO_DOM 22..535;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 557..778;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 536..556;  /note=Helical;  /evidence=ECO:0000255
Q86YD3	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: Late endosome {ECO:0000250|UniProtKB:Q9DCF1}. Lysosome {ECO:0000250|UniProtKB:Q9DCF1}.	NA	TOPO_DOM 27..232;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 254..366;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 233..253;  /note=Helical;  /evidence=ECO:0000255
O94964	SUBCELLULAR LOCATION: [C-terminal 80 kDa form]: Secreted {ECO:0000250}. Note=Secreted in primary hepatocyte-conditioned media. {ECO:0000250}.	NA	NA	NA
Q6UDR6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q96T91	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O94779	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.	NA	NA	NA
Q96QU1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Efficient localization to the plasma membrane requires the presence of LHFPL5. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	NA	TOPO_DOM 27..1376;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1398..1955;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1377..1397;  /note=Helical;  /evidence=ECO:0000255
Q16619	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q8N2G4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.	NA	NA	NA
Q8NI32	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.	NA	NA	NA
P49767	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q96KN2	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O95084	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q14116	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:23955712}. Note=The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	NA	NA	NA
Q9NZV1	SUBCELLULAR LOCATION: [Processed cysteine-rich motor neuron 1 protein]: Secreted.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12805376}; Single-pass type I membrane protein {ECO:0000269|PubMed:12805376}.	NA	TOPO_DOM 35..939;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 961..1036;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 940..960;  /note=Helical;  /evidence=ECO:0000255
Q2L4Q9	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16566820}.	NA	NA	NA
Q7Z4W2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q96IV0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15358861}.	NA	NA	NA
Q8NHP8	SUBCELLULAR LOCATION: Lysosome lumen {ECO:0000269|PubMed:17105447}.	NA	NA	NA
Q4G148	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..6;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 30..440;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 7..29;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q8N128	NA	NA	NA	NA
P58397	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q8TB37	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19752196}.	NA	NA	NA
Q9BQI4	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9D6Y1}.	NA	NA	NA
Q16827	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 30..822;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 844..1216;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 823..843;  /note=Helical;  /evidence=ECO:0000255
P78325	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 17..655;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 677..824;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 656..676;  /note=Helical;  /evidence=ECO:0000255
P19823	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P78536	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 215..671;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 693..824;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 672..692;  /note=Helical;  /evidence=ECO:0000255
Q9NRJ3	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q96MS3	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P0CG36	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P01270	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q08629	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P48058	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell projection, dendrite. Note=Interaction with CNIH2, CNIH3 and PRKCG promotes cell surface expression. {ECO:0000250}.	INTRAMEM 593..608;  /note=Helical; Pore-forming;  /evidence=ECO:0000250; INTRAMEM 609..611;  /evidence=ECO:0000250	TOPO_DOM 22..544;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 566..592;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 612..617;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 639..813;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 835..902;  /note=Cytoplasmic;  /evidence=ECO:0000250	TRANSMEM 545..565;  /note=Helical;  /evidence=ECO:0000250; TRANSMEM 618..638;  /note=Helical;  /evidence=ECO:0000250; TRANSMEM 814..834;  /note=Helical; Name=M4;  /evidence=ECO:0000250
Q6WRI0	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:27137492}.	NA	NA	NA
Q14515	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q9NZW4	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
Q13316	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12615915}. Cytoplasm {ECO:0000269|PubMed:12615915}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12615915}. Note=In proliferating preosteoblasts it is nuclear, during early maturation stage is cytoplasmic and in mature osteoblast localizes in the mineralized matrix. Export from the nucleus of differentiating osteoblast is triggered by the release of calcium from intracellular stores followed by a massive influx of this pool of calcium into the nucleus.	NA	NA	NA
Q9NQ76	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:11414762, ECO:0000269|PubMed:15108058}.	NA	NA	NA
